# Extra glyph names missing from the "Adobe Glyph List".
nbspace;00A0
sfthyphen;00AD
IJ;0132
ij;0133
Scommaaccent;0218
scommaaccent;0219
Tcommaaccent;021A
tcommaaccent;021B
gravecomb;0300
acutecomb;0301
circumflexcomb;0302
tildecomb;0303
macroncomb;0304
brevecomb;0306
dotaccentcomb;0307
dieresiscomb;0308
hookabovecomb;0309
ringcomb;030A
hungarumlautcomb;030B
caroncomb;030C
dblgravecomb;030F
breveinvertedcomb;0311
dotbelowcomb;0323
commaaccentcomb;0326
brevelowcomb;032E
breveinvertedlowcomb;032F
mu.alt;03BC
sigma1;03C2
theta.alt;03D1
phi.alt;03D5
pi.alt;03D6
Ddotbelow;1E0C
ddotbelow;1E0D
Hdotbelow;1E24
hdotbelow;1E25
Ldotbelow;1E36
ldotbelow;1E37
Ldotbelowmacron;1E38
ldotbelowmacron;1E39
Mdotbelow;1E42
mdotbelow;1E43
Ndotaccent;1E44
ndotaccent;1E45
Ndotbelow;1E46
ndotbelow;1E47
Rdotaccent;1E58
rdotaccent;1E59
Rdotbelow;1E5A
rdotbelow;1E5B
Rdotbelowmacron;1E5C
rdotbelowmacron;1E5D
Tdotbelow;1E6C
tdotbelow;1E6D
lscript;2113
nomero;2116
mho;2127
arrowleft;2190
arrowup;2191
arrowright;2192
arrowdown;2193
asteriskmath;2217
visiblespace;2423
musicalnote;266A
lessorequalslant;2A7D
rdotaccent.sc;E1F4
Gravecomb;E300
Acutecomb;E301
Circumflexcomb;E302
Tildecomb;E303
Macroncomb;E304
Brevecomb;E306
Dotaccentcomb;E307
Dieresiscomb;E308
Hookabovecomb;E309
Ringcomb;E30A
Hungarumlautcomb;E30B
Caroncomb;E30C
Dblgravecomb;E30F
Breveinvertedcomb;E311
dotlessj.sc;E902
Breveacute;EA00
breveacute;EA01
Brevegrave;EA02
brevegrave;EA03
Brevehookabove;EA04
brevehookabove;EA05
Breveinverted;EA06
breveinverted;EA07
breveinvertedlow;EA08
Brevetilde;EA09
brevetilde;EA0A
Circumflexacute;EA0B
circumflexacute;EA0C
Circumflexgrave;EA0D
circumflexgrave;EA0E
Circumflexhookabove;EA0F
circumflexhookabove;EA10
Circumflextilde;EA11
circumflextilde;EA12
Hookabove;EA13
hookabove;EA14
horn;EA15
Ringacute;EA16
ringacute;EA17
born;EB09
dotbelow;EB19
Germandbls;EB2A
tildelow;EB69
twelveudash;EB6D
Dotaccent;EFED
Breve;EFEE
Ring;EFF3
Tilde;EFF5
Circumflex;EFF7
ij.sc;F684
scommaaccent.sc;F69B
tcommaaccent.sc;F69E
dotlessj;F6BE
Acute;F6C9
Caron;F6CA
Dieresis;F6CB
Grave;F6CE
Hungarumlaut;F6CF
Macron;F6D0
cyrBreve;F6D1
cyrFlex;F6D2
dblGrave;F6D3
cyrbreve;F6D4
cyrflex;F6D5
dblgrave;F6D6
threequartersemdash;F6DE
ff;FB00
fi;FB01
fl;FB02
ffi;FB03
ffl;FB04




